id,steps,cola,mnli,mrpc,qnli,qqp,rte,sst,sts,glue
0,0,-1.63,60.1,66.91,60.94,76.8,52.35,79.59,16.87,51.49125000000001
0,50000,37.63,72.89,82.6,84.22,87.0,55.6,86.47,83.76,73.77125000000001
0,100000,41.2,74.95,83.09,84.73,87.61,54.51,86.58,85.54,74.77625
0,150000,40.93,71.1,80.15,82.67,86.19,58.12,82.11,85.24,73.31375
0,200000,37.3,72.37,81.37,83.31,86.38,57.4,82.57,84.53,73.15375
0,250000,37.78,72.08,81.86,83.82,86.35,55.6,82.68,83.82,72.99875
0,300000,36.64,72.35,79.41,83.76,86.61,53.07,82.91,83.98,72.34125
0,350000,33.7,72.67,82.6,83.95,86.66,54.51,85.44,84.74,73.03375
0,400000,40.43,72.82,80.88,83.69,86.61,53.79,86.35,83.91,73.56
0,450000,36.48,73.15,83.33,84.22,86.87,56.32,84.86,84.45,73.71
0,500000,37.63,72.89,82.6,84.22,87.0,55.6,86.47,83.76,73.77125000000001
0,550000,36.88,73.43,83.58,84.72,87.07,58.48,84.06,84.13,74.04375
0,600000,39.68,73.6,84.8,83.95,86.94,58.48,85.32,84.75,74.69
0,650000,37.63,73.42,83.58,84.51,87.26,56.32,86.35,84.47,74.1925
0,700000,37.58,73.85,84.56,84.64,87.3,54.51,86.35,83.2,73.99875
0,750000,42.66,74.38,83.33,85.06,87.28,58.48,86.81,84.04,75.255
0,800000,42.12,73.43,84.56,85.04,87.36,53.79,87.27,84.21,74.72250000000001
0,850000,37.82,74.8,82.35,85.12,87.47,53.07,86.93,85.56,74.14000000000001
0,900000,39.03,74.91,83.33,85.5,87.51,58.84,86.47,84.59,75.02250000000001
0,950000,40.19,74.54,81.62,84.94,87.37,53.79,85.89,84.23,74.07125
0,1000000,41.2,74.95,83.09,84.73,87.61,54.51,86.58,85.54,74.77625
1,0,0.29,59.88,68.14,60.42,76.92,49.1,81.08,15.73,51.44500000000001
1,50000,42.14,72.76,85.05,83.25,86.12,54.51,84.75,85.66,74.28
1,100000,39.93,74.0,86.27,84.55,86.89,54.51,86.93,85.31,74.79874999999998
1,150000,34.86,71.21,81.13,81.44,85.16,51.26,82.45,83.98,71.43624999999999
1,200000,39.44,71.18,83.58,81.04,85.45,55.96,82.0,84.69,72.91749999999999
1,250000,34.89,71.93,82.11,81.73,85.62,53.43,82.0,84.83,72.06750000000001
1,300000,37.38,72.17,83.33,82.39,85.82,51.62,83.94,84.75,72.675
1,350000,37.33,72.2,83.09,82.61,85.81,55.23,84.86,84.95,73.26
1,400000,42.23,72.46,82.6,82.83,85.84,54.51,83.03,84.39,73.48625
1,450000,41.91,72.85,84.8,83.23,86.0,55.23,84.06,85.32,74.17500000000001
1,500000,42.14,72.76,85.05,83.25,86.12,54.51,84.75,85.66,74.28
1,550000,43.77,73.1,85.78,83.95,86.25,55.6,85.67,85.14,74.9075
1,600000,40.76,73.06,85.78,83.69,86.24,54.15,85.44,85.34,74.30749999999999
1,650000,41.62,73.33,84.8,83.82,86.44,58.12,85.67,84.92,74.83999999999999
1,700000,39.91,73.35,86.03,84.24,86.48,54.87,84.63,85.41,74.365
1,750000,42.29,73.53,83.33,84.02,86.41,53.07,85.21,85.66,74.18999999999998
1,800000,40.62,73.58,86.27,84.46,86.6,54.15,86.35,84.99,74.6275
1,850000,41.21,73.85,80.39,84.09,86.76,55.96,85.67,85.33,74.1575
1,900000,40.73,73.91,85.78,84.17,86.71,54.51,87.96,84.9,74.83375
