log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency, Layer 1 Hidden Covariance, Layer 2 Hidden Covariance, Layer 3 Hidden Covariance
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.1305636,2274100.5,-971.2166644,0.501151738,-171.6994177,0.99978017,76005153988,0.064175026,3917745.5,-340872.8801,-5030774.179,-9369535.879
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.0837529,2274145.5,-972.5236094,0.50115238,-178.5273039,0.999771694,75613549963,0.064175374,3917764,-344656.9598,-5045657.005,-9400527.633
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.055114,2274171.75,-974.8375898,0.501151548,-180.9053772,0.999770583,75922560675,0.064175701,3917767.5,-347312.3191,-5064620.953,-9405828.244
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.0751801,2274197,-977.114311,0.501148575,-177.840933,0.99977434,76800532382,0.064174261,3917742,-342000.5065,-5058264.166,-9376956.955
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.0392696,2274217.25,-978.9270751,0.501146954,-178.9557912,0.999775433,77378746448,0.064169857,3917805,-345173.7171,-5050692.163,-9394925.043
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.1326505,2274178.5,-976.7380837,0.501148818,-176.7374461,0.999777263,77093000724,0.06417088,3917807,-340638.9776,-5019796.41,-9361475.994
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.1066402,2274242.5,-976.7094058,0.501148775,-174.875687,0.999780701,77274132944,0.064169717,3917794.5,-342071.8354,-5039494.15,-9361442.195
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.0666261,2274184.5,-977.7620257,0.501149904,-181.243334,0.999773733,76625195256,0.064174863,3917749.5,-345131.4472,-5051518.275,-9410921.092
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.041401,2274181.5,-976.5317943,0.501151033,-180.1716677,0.999774335,76373732133,0.064176809,3917749.25,-345885.571,-5059341.113,-9404780.704
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.1662649,2274225.25,-970.6547462,0.501155541,-172.9302251,0.999779897,75805780211,0.064174624,3917790,-336771.7676,-4991229.719,-9374122.718
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9846773,8830441,-136056.0543,0.500008888,-33423.41804,0.999997079,7.44E+18,0.062541353,2888582.25,-114476.5858,-1402159.053,-2632348.291
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9380267,8830474,-136004.8949,0.500008891,-33258.7834,0.999997085,7.44E+18,0.062541339,2888571.75,-114474.7242,-1400816.092,-2636604.682
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9559377,8830443,-136048.5431,0.500008889,-33159.79783,0.999997099,7.46E+18,0.062541314,2888578.25,-114909.2934,-1404567.593,-2642277.597
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9924815,8830453,-136086.5552,0.500008886,-33060.22965,0.999997106,7.47E+18,0.062541326,2888578.75,-114770.6102,-1401571.742,-2636016.672
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9430556,8830462,-136163.5359,0.500008883,-33172.16149,0.9999971,7.49E+18,0.062541289,2888582,-114396.1149,-1403533.43,-2639956.524
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9659823,8830499,-136093.1981,0.500008886,-33502.75594,0.999997066,7.44E+18,0.062541321,2888577.25,-114585.3484,-1401111.962,-2632422.241
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9594781,8830497,-136081.9313,0.500008887,-33521.79115,0.99999706,7.43E+18,0.062541359,2888573.5,-114320.8813,-1398229.458,-2632464.313
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9125011,8830486,-136070.7813,0.500008891,-33383.14887,0.999997079,7.44E+18,0.062541383,2888559.75,-114316.5206,-1399770.096,-2634899.413
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.8859998,8830459,-136052.8424,0.500008888,-33563.10739,0.999997054,7.42E+18,0.062541385,2888569.5,-114507.8248,-1402053.207,-2634970.206
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,469.027234,8830468,-136014.2193,0.500008898,-33290.07817,0.999997094,7.44E+18,0.06254134,2888567,-114328.0488,-1394213.511,-2631422.012
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2156031,10475.04395,-63.94030887,0.519171724,-1.704170876,0.998026624,13374972.16,0.07532769,267800.3438,-1886.699231,-2360.158279,-3661.881345
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.1895418,10476.04102,-63.95175145,0.519163683,-1.679899015,0.998063212,13384679.9,0.075326655,267893.875,-1889.402391,-2374.183997,-3675.582359
