log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synflow Saliency, Layer 1 Hidden Covariance, Layer 2 Hidden Covariance, Layer 3 Hidden Covariance
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.1305636,2274100.5,-971.2166644,0.501151738,-171.6994177,0.99978017,76005153988,0.064175026,3917745.5,-340872.8801,-5030774.179,-9369535.879
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,477.9993627,2422629.75,-669.2677434,0.501622919,-113.9292389,0.999707042,23209886617,0.064482582,3850410.25,-291642.3151,-4773660.757,-8672686.43
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,474.2211701,2739383,-689.3904085,0.501590253,-103.1222245,0.999760075,29287934162,0.064285874,4175007.5,-315489.4169,-4982981.354,-8024622.476
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,465.9070808,2577306.75,-929.3940918,0.501192003,-168.3484369,0.999763749,67780219530,0.064156966,3931347,-337227.3684,-4917187.913,-8723840.728
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,470.9841107,2618098.5,-714.6048331,0.501535318,-112.6679618,0.999747848,31497257874,0.064301539,4034414.5,-336886.2248,-5102830.39,-9208291.298
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,473.2116776,2568279.25,-769.0905757,0.50141829,-121.4397526,0.999761564,38365015582,0.064285424,3961670.5,-330142.2421,-4985022.492,-8458207.061
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,473.3025606,2522201,-1202.896217,0.500938827,-203.9264348,0.999828243,1.81442E+11,0.06382333,3923467,-324611.9591,-4560791.835,-8177095.934
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,475.8748872,2471353.75,-1041.230283,0.50108015,-154.845067,0.999834087,1.12616E+11,0.063950128,3942105.5,-296634.4028,-4834869.405,-8290074.692
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,472.7236746,2335974.5,-384.8583976,0.502721554,-41.25101299,0.999726135,4783562016,0.064886373,3792468.25,-335976.0465,-4835362.413,-8544075.781
log_stats_model_1009532_2020-04-13_04-50-42_999940095.json,4.62207772,101.7051275,6.668248605,467.4506554,2420764.75,-1479.898791,0.500782362,-203.4974526,0.999890216,3.63481E+11,0.063723877,3967825,-364087.2664,-4698246.721,-8855845.355
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,468.9846773,8830441,-136056.0543,0.500008888,-33423.41804,0.999997079,7.44E+18,0.062541353,2888582.25,-114476.5858,-1402159.053,-2632348.291
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,465.7310842,8452458,-129530.1724,0.500009341,-31559.65297,0.999996965,6.13E+18,0.062543312,3170443.5,-108818.5606,-1152239.853,-2326996.636
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,470.7736387,8224753.5,-141518.813,0.500008515,-34500.83862,0.999997204,8.71E+18,0.062539818,2958900,-98044.96975,-1053292.083,-2297065.665
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,473.1701686,9777089,-135691.9635,0.500008901,-32884.40918,0.999997107,7.42E+18,0.062541327,3055418,-94556.65394,-1069920.567,-2651944.699
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,472.1772016,9886542,-132519.0952,0.500009129,-32017.90427,0.999997048,6.81E+18,0.06254195,3091904.75,-101441.4489,-1247343.322,-2382435.403
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,472.4446306,8614775,-128165.9855,0.500009464,-30517.43076,0.999997023,6.13E+18,0.062542444,3112219.25,-92834.9204,-1002367.676,-2300454.868
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,473.1513532,9138013,-133454.3885,0.500009074,-32504.47928,0.999997047,7.08E+18,0.062541232,3235783.25,-112361.8415,-1276798.333,-2620190.111
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,472.4174259,9911793,-121187.2228,0.50001,-29552.65155,0.99999674,4.70E+18,0.062546195,2952979.5,-128146.0516,-1111776.047,-2637205.307
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,469.1715448,9139298,-132461.5655,0.50000913,-31905.19029,0.999997066,6.79E+18,0.062542081,3242061.75,-112065.7353,-1518868.297,-2639360.483
