log name,loss,perplexity,bits per word,trainable paramters,total paramters
log_stats_model_1000075_2020-04-14_18-43-13_999921525.json,4.983852349,146.0358807,7.190179069,9174800,9174800
log_stats_model_1003879_2020-04-20_03-28-25_999904944.json,4.814434755,123.2771109,6.945761146,8333200,8333200
log_stats_model_1012397_2020-04-20_16-40-33_999956176.json,4.898284616,134.0596186,7.066730924,10134800,10134800
log_stats_model_1000136_2020-04-17_15-37-23_999936837.json,nan,nan,nan,9254800,9254800
log_stats_model_1012755_2020-04-20_23-49-24_999966538.json,nan,nan,nan,7493200,7493200
log_stats_model_1013937_2020-04-16_22-30-17_999995724.json,4.770115232,117.9328308,6.88182159,14538000,14538000
log_stats_model_1005627_2020-04-24_02-21-19_999956233.json,5.146623037,171.8501777,7.425007533,11816400,11816400
log_stats_model_1013076_2020-04-14_20-49-44_999970772.json,4.721108446,112.292654,6.811119742,10094800,10094800
log_stats_model_1009155_2020-04-13_05-15-32_999944824.json,6.518572465,677.6103819,9.404312169,12738000,12738000
log_stats_model_1007141_2020-04-20_19-38-25_999921535.json,4.789008576,120.1821581,6.909078923,7493200,7493200
log_stats_model_1009493_2020-04-18_07-19-07_999972547.json,6.220473799,502.9414686,8.974246701,8373200,8373200
log_stats_model_1005870_2020-04-15_08-46-32_999971642.json,5.20117069,181.4845797,7.503703161,10976400,10976400
log_stats_model_1007069_2020-04-17_00-15-49_999968374.json,4.905748682,135.0639922,7.077499296,9254800,9254800
log_stats_model_1005691_2020-04-23_02-03-36_999937149.json,5.012065999,150.2147593,7.230882761,8333200,8333200
log_stats_model_1007636_2020-04-17_16-09-40_999952703.json,4.97506625,144.758415,7.177503407,11816400,11816400
log_stats_model_1005265_2020-04-15_01-25-43_999984987.json,4.859914243,129.0131378,7.011374177,10976400,10976400
log_stats_model_1008476_2020-04-24_16-42-11_999976168.json,4.662059006,105.8538116,6.725929409,9214800,9214800
log_stats_model_1006008_2020-04-12_23-32-41_999961725.json,4.826780449,124.8084858,6.963572217,11856400,11856400
log_stats_model_1002690_2020-04-21_03-22-15_999920539.json,5.045387046,155.3043975,7.27895487,9174800,9174800
log_stats_model_1003797_2020-04-11_00-42-45_999982207.json,5.152539892,172.8700044,7.43354375,9174800,9174800
log_stats_model_1007516_2020-04-21_14-38-09_999957879.json,5.066300772,158.5865929,7.309126999,9174800,9174800
log_stats_model_1001847_2020-04-13_12-34-49_999980526.json,4.653416013,104.9428602,6.713460206,7493200,7493200
log_stats_model_1003033_2020-04-22_06-20-15_999904272.json,4.742321126,114.7001263,6.84172317,8333200,8333200
log_stats_model_1006991_2020-04-14_10-48-14_999940157.json,6.457168135,637.2538818,9.315724446,9214800,9214800
log_stats_model_1009328_2020-04-23_02-47-28_999979641.json,4.750283251,115.6170285,6.853210088,14498000,14498000
log_stats_model_1008373_2020-04-17_12-30-30_999925366.json,5.171920628,176.2530292,7.461504242,9254800,9254800
log_stats_model_1009633_2020-04-23_05-56-05_999960262.json,4.906643766,135.1849398,7.078790628,10976400,10976400
log_stats_model_1010306_2020-04-23_21-52-42_999918838.json,6.4301663,620.2770916,9.276769033,10094800,10094800
log_stats_model_1003865_2020-04-22_08-15-51_999911428.json,4.755290504,116.197404,6.860434028,9214800,9214800
log_stats_model_1009942_2020-04-22_22-15-22_999934845.json,4.771171496,118.0574648,6.883345456,10094800,10094800
log_stats_model_1007346_2020-04-22_12-28-35_999998848.json,nan,nan,nan,8373200,8373200
log_stats_model_1010318_2020-04-20_04-33-06_999977969.json,5.225774376,186.0051527,7.539198777,7493200,7493200
log_stats_model_1009549_2020-04-24_09-24-50_999945715.json,6.313291679,551.8585036,9.108154597,9254800,9254800
log_stats_model_1006069_2020-04-23_11-27-07_999909215.json,4.666147473,106.2874773,6.731827819,10976400,10976400
log_stats_model_1011581_2020-04-20_05-52-13_999977565.json,4.727914458,113.059526,6.820938743,8373200,8373200
log_stats_model_1008330_2020-04-19_09-09-21_999922875.json,4.9732109,144.4900865,7.174826702,12736400,12736400
log_stats_model_1003787_2020-04-24_18-57-35_999969084.json,4.874397056,130.8952069,7.032268459,9254800,9254800
log_stats_model_1010443_2020-04-15_16-30-41_999914901.json,4.781219779,119.2497196,6.897842064,10094800,10094800
log_stats_model_1006229_2020-04-21_20-36-20_999971515.json,nan,nan,nan,5731600,5731600
log_stats_model_1005948_2020-04-20_13-30-45_999994140.json,4.794946171,120.8978737,6.917645062,7493200,7493200
log_stats_model_1002051_2020-04-22_16-02-36_999982510.json,5.94056598,380.1500258,8.570425079,5731600,5731600
log_stats_model_1006043_2020-04-15_18-10-11_999917215.json,4.953550172,141.6770501,7.146462268,9214800,9214800
log_stats_model_1000275_2020-04-15_06-19-43_999964827.json,5.0275393,152.557153,7.253206015,10094800,10094800
log_stats_model_1013757_2020-04-21_02-59-28_999905458.json,5.129700892,168.9665713,7.400594038,12696400,12696400
log_stats_model_1004898_2020-04-14_07-20-07_999992180.json,4.903120022,134.7094211,7.073706941,10976400,10976400
log_stats_model_1011743_2020-04-24_03-59-43_999907116.json,nan,nan,nan,12618000,12618000
log_stats_model_1002275_2020-04-15_02-19-34_999994411.json,5.040433124,154.5369343,7.271807873,10094800,10094800
log_stats_model_1001473_2020-04-15_11-59-01_999986512.json,4.680112376,107.782184,6.751974915,10976400,10976400
log_stats_model_1003214_2020-04-24_00-58-14_999910551.json,5.144303701,171.4520613,7.421661439,9214800,9214800
log_stats_model_1011376_2020-04-18_10-22-56_999949734.json,5.041695308,154.7321113,7.273628818,11016400,11016400
log_stats_model_1010861_2020-04-22_20-15-41_999977673.json,5.109334705,165.5601719,7.371211841,9174800,9174800
log_stats_model_1006578_2020-04-19_09-45-09_999963981.json,5.488126588,241.8037842,7.917693012,11016400,11016400
log_stats_model_1012399_2020-04-18_04-04-55_999904755.json,4.832605751,125.5376547,6.971976351,9254800,9254800
