log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency,Layer 1 Hidden Covariance,Layer 2 Hidden Covariance,Layer 3 Hidden Covariance
log_stats_model_1000004_2020-04-15_11-01-23_999938456.json,5.070841669,159.3083558,7.315678129,431.4625154,5655821.5,-71.09883815,0.500012127,15477.91006,0.999997931,1.02E+19,0.062517888,848513.1875,-5275956.35,-22248178.82,-26727119.26
log_stats_model_1000006_2020-04-21_01-28-58_999945567.json,4.997700812,148.0723213,7.210158177,395.4716521,16941290,-71.08292706,0.500005624,49140.00981,0.999998244,4.75E+19,0.062525073,545394.25,-2136854.861,-9026859.225,-8439943.97
log_stats_model_1000009_2020-04-20_04-10-29_999959506.json,4.700323901,109.9827902,6.781133983,556.4100129,3225020,-71.13976749,0.5047971,16.82027442,0.999564789,851864779.1,0.065414634,195329.7344,-3574.430075,-4308.723578,-2022.335396
log_stats_model_1000010_2020-04-13_17-52-55_999971212.json,4.785522461,119.7639187,6.904049522,538.6942295,237306.7031,-71.08292706,0.518686213,1.84009175,0.998144388,13692862.89,0.075939018,26339.54297,-2903.733662,-68254.52495,-1892950.642
log_stats_model_1000011_2020-04-24_16-30-43_999955953.json,4.728898132,113.1707943,6.822357884,555.8544362,1454891.5,-71.08292706,0.506548595,15.29383355,0.99918308,197174130.7,0.067062662,76301.6875,-13556.88482,-27584.51259,-27537.42464
log_stats_model_1000013_2020-04-24_16-06-02_999975511.json,4.799185447,121.4114812,6.923761045,415.7368995,28289136,-71.10726427,0.500000517,290875.5611,0.999999829,2.33E+23,0.06250235,2631681.75,-39761.3836,-130056.4321,-105547.2527
log_stats_model_1000014_2020-04-18_18-58-10_999934498.json,4.781921979,119.3334863,6.898855125,544.9194505,1147553.875,-71.13976749,0.521262299,1.301549285,0.997744778,11848310.02,0.076440836,69172.69531,-1754.578043,-1939.345173,-2000.592052
log_stats_model_1000017_2020-04-23_11-05-52_999974969.json,5.148195137,172.1205558,7.427275594,465.730334,3508395.5,-71.07331122,0.500591024,287.0365866,0.999910387,2.39E+12,0.063076407,778340.75,-7933513.216,-36013786.84,-36843679.18
log_stats_model_1000018_2020-04-21_06-37-38_999963760.json,4.994097367,147.5397111,7.204959505,387.5349301,6235735.5,-71.13976749,0.500001599,148019.9461,0.999999476,5.07E+21,0.06250758,857572.875,-2633984.329,-20181004.39,-27279902.73
log_stats_model_1000019_2020-04-17_05-53-08_999925817.json,4.716220004,111.7450575,6.804067211,492.7496154,135286.8438,-71.12382814,0.510927005,6.864916673,0.998748029,40808029.04,0.070355588,7693.781738,-3299.147441,-51401.9882,-1673144.897
log_stats_model_1000020_2020-04-18_09-48-24_999987998.json,4.826736895,124.80305,6.963509382,516.6025918,1084402,-71.10726427,0.503730422,23.84108151,0.999647234,2090521235,0.064877232,98490.23438,-16919.52063,-17520.52231,-6611.579923
